Study_Hours,Assignments_Completed,Pass
4.37,7,1
9.56,4,1
7.59,6,1
6.39,8,1
2.4,8,0
2.4,3,0
1.52,8,0
8.8,7,1
6.41,5,1
7.37,1,0
1.19,7,0
9.73,5,1
8.49,6,0
2.91,8,0
2.64,6,0
2.65,8,0
3.74,1,0
5.72,2,1
4.89,1,0
3.62,4,1
6.51,7,1
2.26,3,0
3.63,2,0
4.3,1,0
5.1,5,0
8.07,2,0
2.8,7,0
5.63,8,1
6.33,2,1
1.42,8,0
6.47,7,1
2.53,1,0
1.59,7,0
9.54,2,1
9.69,5,1
8.28,6,1
3.74,2,0
1.88,7,0
7.16,6,1
4.96,7,1
2.1,5,0
5.46,7,1
1.31,1,0
9.18,3,1
3.33,8,0
6.96,8,1
3.81,2,0
5.68,3,0
5.92,7,1
2.66,5,0
9.73,2,0
7.98,7,1
9.46,6,1
9.05,4,0
6.38,7,1
9.3,3,1
1.8,2,0
2.76,3,0
1.41,2,0
3.93,7,1
4.5,1,0
3.44,6,0
8.46,7,1
4.21,8,1
3.53,3,0
5.88,4,0
2.27,4,0
8.22,5,1
1.67,2,0
9.88,3,1
7.95,5,1
2.79,3,0
1.05,8,0
8.34,2,0
7.36,7,1
7.56,7,1
7.94,4,1
1.67,7,0
4.23,7,0
2.04,8,0
8.77,1,0
6.61,4,1
3.98,5,0
1.57,6,0
3.8,1,1
3.93,5,0
7.57,2,1
6.74,1,0
8.98,8,1
5.25,5,1
2.08,2,0
7.42,4,0
7.85,6,1
6.05,2,0
7.94,7,1
5.44,3,0
5.7,2,0
4.85,2,0
1.23,6,0
1.97,3,0
1.28,7,0
6.73,5,1
3.83,5,0
5.58,2,0
9.17,8,1
3.24,8,0
4.69,3,0
7.8,3,0
3.06,7,0
1.69,6,0
3.61,4,0
2.45,5,0
9.37,6,1
8.27,1,0
6.7,5,1
8.84,6,1
8.23,5,0
2.68,4,0
9.03,1,1
5.85,8,1
8.27,8,1
9.06,4,1
3.86,7,1
1.99,1,0
3.05,2,0
4.84,6,1
8.36,1,0
8.75,7,1
1.06,7,0
5.6,4,0
4.76,5,1
3.0,1,0
2.08,6,0
4.04,1,0
9.49,3,0
3.91,5,0
5.67,6,1
7.33,8,1
4.27,6,1
9.75,2,0
9.66,4,1
3.27,2,0
5.48,6,1
3.71,5,0
3.56,1,0
1.33,8,0
6.49,1,0
5.52,5,1
1.46,6,0
3.51,7,1
9.17,1,1
3.16,7,0
2.3,1,0
5.41,1,0
9.87,8,1
3.18,4,1
7.05,4,1
7.85,3,1
3.14,2,0
7.55,5,1
4.31,5,0
6.69,5,1
6.7,3,1
5.82,4,0
1.81,6,1
8.52,7,1
3.89,8,1
2.68,7,1
1.37,6,0
6.32,8,1
7.1,3,0
1.15,6,0
5.61,5,1
3.04,2,0
6.81,1,0
2.57,7,0
7.22,4,1
4.48,4,0
9.43,3,1
2.24,8,1
4.07,4,0
2.02,5,1
9.32,7,1
8.9,6,1
3.32,5,0
6.94,3,1
8.35,5,0
6.0,6,1
5.77,2,0
3.18,3,0
1.84,2,0
9.07,1,0
9.1,2,1
6.7,1,0
4.05,1,0
4.14,2,0
7.53,3,1
9.07,8,1
8.98,6,0
8.02,5,1
6.78,5,0
1.76,6,0
2.45,7,0
9.09,7,1
6.46,1,0
1.08,1,0
1.91,3,0
6.97,4,1
1.05,2,0
2.45,1,0
5.94,5,1
7.23,3,0
6.87,2,1
3.02,3,0
7.41,2,0
3.14,2,1
3.93,6,0
7.72,1,0
6.85,8,0
8.64,3,1
6.92,8,1
6.11,3,0
1.84,6,0
4.31,5,0
3.39,8,0
3.2,5,0
9.76,7,1
4.54,1,1
9.03,1,1
6.68,4,0
8.15,6,1
5.52,5,1
6.19,2,0
5.43,3,0
2.76,1,0
7.5,8,1
3.53,3,0
1.22,3,0
6.81,4,1
2.59,5,0
9.46,1,0
9.59,3,1
9.23,1,0
4.33,2,0
1.14,4,0
9.35,2,1
4.85,1,0
9.7,7,1
9.67,8,1
8.68,1,0
3.65,5,0
4.47,3,0
8.66,3,1
3.85,2,0
2.53,8,1
6.01,4,1
9.43,7,1
7.26,6,1
6.13,8,1
1.87,3,0
6.54,5,1
9.91,8,1
2.26,2,0
5.66,2,0
8.9,6,1
7.67,5,1
7.27,4,0
7.32,8,1
4.24,5,0
3.64,4,0
8.28,5,1
8.29,5,1
8.8,1,1
9.22,2,0
5.6,8,1
5.51,5,0
8.18,8,1
6.85,6,1
7.32,5,1
8.16,3,0
9.01,2,1
4.04,3,0
4.38,8,1
1.85,8,0
6.2,2,0
1.32,8,1
5.19,3,0
5.88,5,0
3.58,5,0
6.32,1,0
1.27,6,0
1.34,8,0
8.4,3,1
4.24,8,1
2.14,8,0
5.7,4,0
7.93,1,1
2.94,3,0
6.61,3,0
1.77,8,0
1.47,1,0
5.78,5,0
5.87,3,0
6.74,5,1
7.53,1,0
9.78,5,1
5.65,2,0
3.91,4,0
8.16,7,1
3.44,3,0
4.95,6,0
1.71,4,0
1.23,7,0
9.66,5,1
8.52,3,1
7.26,5,0
4.68,2,0
2.56,1,0
2.41,3,0
3.25,7,0
5.94,7,1
7.43,2,0
6.94,2,0
3.52,8,0
9.59,3,1
7.64,5,1
5.99,6,1
6.51,7,0
4.78,7,0
3.23,2,0
4.2,4,1
7.82,2,1
1.13,6,0
2.04,5,0
1.41,5,0
1.37,4,0
8.7,7,1
7.33,2,0
5.27,8,0
1.88,5,0
5.42,6,1
5.26,3,0
2.56,1,0
4.9,1,0
4.59,1,0
6.54,8,1
6.72,7,1
1.41,2,0
4.37,4,1
6.63,8,1
5.53,8,1
8.71,5,1
6.93,3,1
2.47,8,1
1.64,6,1
6.78,3,0
1.24,6,0
6.27,7,1
9.46,2,0
6.18,1,0
4.49,8,0
6.79,2,0
5.12,7,1
5.91,4,0
9.47,4,0
4.47,7,0
9.65,6,1
9.15,5,1
2.76,5,0
1.62,6,0
1.91,4,0
1.16,4,0
1.85,8,0
7.15,4,0
1.64,2,0
3.87,4,0
8.6,3,1
1.21,8,0
8.33,1,0
3.54,4,0
2.06,6,0
7.27,1,1
6.66,2,0
8.9,6,1
7.62,1,0
8.23,6,1
3.54,2,0
2.6,8,0
7.76,3,0
8.26,2,1
9.91,2,1
4.71,6,0
4.35,8,0
7.99,7,1
4.07,5,0
9.38,4,1
8.73,4,1
4.86,3,0
7.76,3,1
7.79,4,0
1.93,5,0
9.12,4,1
5.55,7,0
8.44,5,1
3.88,3,0
9.06,1,0
4.5,6,1
1.1,7,0
9.15,7,1
1.82,8,0
3.87,3,0
9.55,3,0
9.56,2,0
6.16,7,1
6.69,2,0
5.04,2,0
3.64,6,1
3.96,2,0
7.05,5,1
7.77,4,1
8.12,1,1
8.11,3,1
1.82,5,0
5.45,1,0
1.52,7,0
5.95,7,1
4.97,7,1
8.99,5,1
4.16,5,0
2.05,3,0
2.29,4,0
7.85,8,1
6.56,2,0
1.91,7,0
1.76,6,0
7.31,4,0
1.65,6,0
8.4,3,0
7.36,3,0
1.73,3,0
1.76,1,0
9.88,6,1
4.37,4,0
4.34,8,0
8.32,4,0
9.53,5,1
9.87,5,1
7.78,7,1
4.39,8,1
1.75,5,0
7.99,3,1
6.03,4,0
4.82,6,1
9.16,3,1
2.0,1,1
5.43,5,1
1.1,3,0
5.22,3,0
1.51,1,0
2.07,2,0
2.06,4,0
6.84,6,1
7.71,7,1
6.25,2,0
9.66,5,1
4.37,3,0
3.57,8,1
8.82,1,0
3.01,1,0
9.67,8,1
1.11,4,0
9.73,2,0
1.39,7,0
9.02,4,1
5.75,8,1
9.94,3,0
1.66,8,0
5.98,4,0
9.72,6,1
5.71,1,0
6.66,1,0
7.26,5,0
5.09,5,0
6.65,8,1
6.26,7,1
9.11,3,1
1.41,6,0
3.53,2,0
9.55,4,1
9.01,7,1
5.1,3,0
6.58,5,1
3.5,8,0
2.69,4,0
5.17,5,1
4.18,8,1
6.25,4,1
1.7,2,0
9.77,3,1
9.88,4,1
7.28,6,1
5.82,7,1
3.79,1,0
8.32,6,1
7.16,6,1
2.46,7,1
9.2,1,1
8.4,6,1
9.55,4,1
7.53,4,1
6.52,4,0
4.76,1,0
9.39,6,1
8.79,8,1
1.41,1,0
1.24,4,0
4.39,7,1
8.29,6,1
9.89,6,1
2.35,5,0
6.35,5,0
4.43,2,0
9.73,8,1
8.58,8,1
8.54,3,1
5.22,8,1
4.73,5,1
3.46,1,0
1.51,8,0
8.78,5,1
8.32,2,1
10.0,6,1
9.97,8,1
6.0,2,1
7.92,6,1
9.5,7,1
8.65,7,1
3.23,6,0
5.05,8,1
2.16,3,0
9.59,5,1
6.46,1,0
3.06,1,0
7.05,4,1
6.56,6,0
4.22,1,0
